,Opponent,Color,Accuracy,AvgLoss,Blunders,Mistakes,Inaccuracies,TotalMoves,Normalized AvgLoss
0,tobisenpaii,Black,78.9,85.4,2,8,5,37,9.241212041718338
1,LeobelLuis,White,84.0,86.5,3,4,4,28,9.300537618869138
2,mpetrashev,White,84.8,69.1,2,8,11,55,8.312640976248161
3,Jesuino,Black,81.9,109.2,10,7,12,55,10.449880382090505
4,ShadowoftheKing29,Black,86.4,71.9,3,1,5,23,8.47938677028003
5,Caslav63,White,76.5,142.8,5,4,4,36,11.949895397031725
6,Kay26,Black,95.0,28.2,1,0,1,13,5.310367218940701
7,uthpalawe,White,69.9,141.5,2,2,5,13,11.895377253370318
8,FRG1974,White,77.8,89.2,3,8,5,34,9.444575162494075
9,FRG1974,Black,88.7,37.6,1,0,4,21,6.131883886702357
10,FRG1974,White,87.5,74.2,2,5,5,46,8.613942186943213
11,E_Lane_22,White,75.8,105.9,3,6,12,35,10.290772565750348
12,Natigol9,White,78.0,93.6,4,5,5,33,9.674709297958259
13,king_slayer101,White,85.8,47.4,1,2,5,25,6.884765791223402
14,Atheist1983,Black,91.5,31.3,1,0,4,23,5.594640292279746
15,krikant,White,76.1,121.8,4,12,8,45,11.036303729057115
16,krikant,Black,89.9,54.4,6,3,6,65,7.37563556583431
17,SuperFork,White,80.0,123.2,4,2,4,28,11.099549540409287
18,tdfq,Black,86.1,63.3,2,1,0,20,7.956129712366434
19,behnam20,Black,81.1,103.3,3,5,8,36,10.16366075781753
20,Domjur,Black,80.4,101.2,4,0,4,17,10.059821071967434
21,SalemAlharbi,White,70.0,155.2,4,10,7,32,12.457929201917949
22,Avar11ce,White,78.3,82.2,1,4,4,23,9.06642156531451
23,RonaldCrisanto,Black,84.6,82.0,1,10,9,31,9.055385138137417
24,Etternauta,White,80.8,122.9,3,4,5,32,11.086027241532468
25,ousou,Black,84.7,64.7,2,6,4,30,8.043631020876083
26,comocaig,White,89.0,31.9,0,1,4,18,5.648008498577175
27,prakhar26,Black,87.9,37.9,1,2,3,26,6.156297588648554
28,Schachschlumpf1990,White,81.3,114.1,2,5,8,34,10.681760154581266
29,Umeshkhengae,Black,84.5,91.8,2,7,2,28,9.581231653602787
30,Elisardo_G,White,81.0,86.5,1,3,1,13,9.300537618869138
31,Spachtelmasse,Black,83.7,62.0,2,4,2,22,7.874007874011811
32,UgolnikovTAIS1w,White,82.9,87.4,2,3,2,17,9.348796714016196
33,Masal_10,Black,80.1,84.1,4,3,2,24,9.1706052144883
34,HasTab1950,White,76.5,111.3,2,4,2,23,10.549881515922348
35,hafn,White,81.9,54.6,0,1,2,7,7.389181280764467
36,slesar2000,Black,84.4,106.9,7,3,7,51,10.339245620450265
37,Fredrixe1,White,87.8,49.7,0,7,7,44,7.049822692805827
38,ahmadkvr,Black,77.2,103.3,3,5,1,27,10.16366075781753
39,mergen75,White,81.5,114.4,3,8,4,39,10.69579356569675
40,chessooli,Black,78.7,97.8,3,0,2,16,9.889388252060893
41,jumabek1965,White,85.1,84.4,1,15,7,45,9.186947262284681
